date,rainfall_mm,rainfall_3day_avg,rainfall_7day_avg,river_level_m,temperature_c,humidity_pct,wind_speed_kmh,soil_moisture_pct,elevation_m,distance_to_river_km,drainage_quality,flood
2015-01-01,7.04,17.4,12.23,4.9,24.71,48.75,1.47,37.55,20,6.59,2,0
2015-01-02,45.15,23.98,12.6,14.18,25.72,79.96,4.15,34.13,10,2.86,0,1
2015-01-03,19.75,26.2,12.96,8.93,23.07,65.54,28.6,41.09,10,1.47,2,1
2015-01-04,13.69,12.0,13.09,8.7,24.78,68.59,6.99,36.31,5,3.04,1,0
2015-01-05,2.54,6.26,16.39,4.91,24.7,77.7,34.24,40.24,10,1.61,1,0
2015-01-06,2.54,2.0,11.91,4.78,25.5,64.75,0.93,40.72,100,0.01,1,0
2015-01-07,0.9,11.2,11.73,3.43,25.82,74.13,6.49,34.03,50,1.39,0,0
2015-01-08,30.17,14.95,9.82,11.02,26.3,77.93,0.64,33.92,50,1.83,1,0
2015-01-09,13.79,20.81,16.96,8.25,25.68,63.74,9.95,28.92,50,0.62,2,0
2015-01-10,18.47,10.86,20.43,8.04,22.8,70.97,0.82,44.37,20,0.45,0,0
2015-01-11,0.31,23.78,20.81,6.21,23.37,69.06,1.93,37.6,10,0.64,1,0
2015-01-12,52.55,26.55,16.93,15.0,24.18,95.42,3.0,31.74,200,1.95,0,1
2015-01-13,26.8,27.64,15.39,10.84,24.74,70.52,13.81,39.86,50,0.32,1,1
2015-01-14,3.58,11.13,13.53,3.84,27.43,63.06,1.79,24.51,20,2.55,2,0
2015-01-15,3.01,3.21,15.08,4.29,23.03,54.36,18.75,33.89,200,1.1,1,0
2015-01-16,3.04,3.83,8.79,4.12,24.66,65.64,1.41,38.06,20,0.87,1,0
2015-01-17,5.44,6.55,5.7,6.47,27.31,70.49,0.36,30.09,100,3.29,0,0
2015-01-18,11.16,8.36,7.21,7.07,24.83,65.78,5.03,29.3,100,1.41,2,0
2015-01-19,8.48,8.27,7.1,5.17,26.37,60.9,38.84,30.76,10,0.95,1,0
2015-01-20,5.16,9.28,7.41,7.32,25.2,64.38,1.17,22.91,5,4.21,0,0
2015-01-21,14.2,7.2,7.61,7.82,26.02,69.19,1.07,36.62,200,0.92,1,0
2015-01-22,2.25,7.21,7.32,5.1,25.07,61.53,13.91,32.31,20,3.92,1,0
2015-01-23,5.18,4.76,9.41,4.32,26.89,63.48,3.74,32.4,5,1.4,2,0
2015-01-24,6.84,7.05,9.15,5.99,22.49,62.55,12.63,32.31,20,0.47,0,0
2015-01-25,9.13,13.02,8.66,6.61,24.88,69.55,2.23,33.54,50,1.9,1,0
2015-01-26,23.07,11.85,10.27,8.15,26.22,75.22,6.16,37.37,100,0.67,1,0
2015-01-27,3.34,12.41,9.63,6.92,26.72,56.76,3.08,33.59,200,0.32,1,0
2015-01-28,10.83,9.21,10.65,8.3,28.66,60.36,6.01,27.45,200,0.18,1,0
2015-01-29,13.46,8.34,9.75,7.06,24.92,65.46,14.66,36.78,200,0.55,2,0
2015-01-30,0.71,9.4,6.6,2.39,28.69,64.04,14.36,35.13,5,2.67,1,0
2015-01-31,14.03,5.85,12.49,8.13,24.44,67.76,7.25,36.03,50,3.64,0,0
2015-02-01,2.8,5.95,18.17,4.45,28.44,58.19,26.36,42.64,10,3.96,1,0
2015-02-02,1.01,16.14,19.79,4.23,27.44,61.81,3.06,38.07,10,0.63,2,0
2015-02-03,44.61,32.06,20.46,15.0,24.0,80.65,2.75,43.74,100,2.16,1,1
2015-02-04,50.56,39.98,18.68,15.0,26.47,89.68,9.51,44.51,20,0.52,1,1
2015-02-05,24.78,26.93,20.75,12.67,25.78,74.06,9.71,41.21,200,1.95,2,1
2015-02-06,5.45,10.59,21.85,5.82,27.15,61.15,0.48,35.0,5,4.36,0,0
2015-02-07,1.54,8.09,15.75,2.7,25.48,61.93,9.36,35.65,100,0.08,1,0
2015-02-08,17.29,9.18,10.0,10.32,25.34,75.22,4.69,40.19,10,8.43,1,0
2015-02-09,8.7,9.31,6.53,8.08,28.72,61.5,13.76,25.12,10,3.51,1,0
2015-02-10,1.95,6.97,10.9,7.87,25.81,62.99,16.51,32.4,20,2.87,1,0
2015-02-11,10.25,4.24,11.32,5.23,27.68,64.77,8.03,32.81,20,2.35,2,0
2015-02-12,0.52,15.59,11.17,3.95,25.6,62.4,0.02,30.14,20,2.94,1,0
2015-02-13,36.01,13.67,10.73,11.8,29.41,74.73,10.12,38.66,200,10.44,0,0
2015-02-14,4.49,18.93,12.03,5.51,24.75,62.8,13.82,36.69,50,2.94,0,0
2015-02-15,16.29,8.8,12.26,7.73,24.9,73.69,2.86,31.35,20,0.87,0,0
2015-02-16,5.6,10.97,12.62,7.49,29.2,58.12,6.25,38.08,10,1.9,2,0
2015-02-17,11.01,9.49,14.96,5.87,25.29,58.86,33.73,35.19,20,0.82,1,0
2015-02-18,11.87,8.65,17.52,5.03,29.41,59.48,3.54,32.56,20,7.02,2,0
2015-02-19,3.07,22.44,21.2,3.85,28.01,55.68,2.53,34.92,50,4.61,2,0
2015-02-20,52.39,25.95,25.23,15.0,25.94,89.17,2.37,42.27,20,1.68,2,1
